lead_h,station_id,station_effect_c,n_common_cases,n_daily_blocks,latitude,longitude,altitude_m,era5_grid_elevation_m,delta_z_m,abs_delta_z_m,coast_stratum
24,c30m102e07,-0.0738155949806577,681,350,38.8429,-0.1156,81.0,248.4389038987408,-167.43890389874082,167.43890389874082,coast_0_25km
24,c30m128e05,-0.13350610638249538,709,360,38.7193,0.1017,163.0,94.52003846015792,68.47996153984207,68.47996153984207,coast_0_25km
24,c30m128e07,-0.12987303806163264,713,361,38.700833,0.088333,226.0,98.64203681428118,127.35796318571882,127.35796318571882,coast_0_25km
24,c30m134e01,-0.959006221044048,721,362,38.7767,-0.2692,637.0,406.0362879888992,230.9637120111008,230.9637120111008,coast_0_25km
24,c30m135e01,-0.4723304314522604,725,363,38.8058,-0.16,394.0,312.21741649800555,81.78258350199445,81.78258350199445,coast_0_25km
24,c30m136e03,-0.35990428010142794,689,356,38.8189,-0.2761,460.0,367.5698059102354,92.4301940897646,92.4301940897646,coast_0_25km
24,c30m137e03,-0.5852807677846066,725,363,38.7733,-0.1275,540.0,325.9189916767254,214.0810083232746,214.0810083232746,coast_0_25km
24,c31m048e11,0.01688267188842596,666,345,38.659866,-0.107436,250.0,307.0738148752745,-57.07381487527448,57.07381487527448,coast_0_25km
24,c31m048e12,-0.14847280069575863,667,345,38.664898,-0.090407,168.0,299.4415174636883,-131.44151746368829,131.44151746368829,coast_0_25km
24,c31m124e07,-0.04728749439934132,698,361,38.6083,-0.2728,420.0,375.8289476486712,44.1710523513288,44.1710523513288,coast_0_25km
24,c32m014e27,-0.42090615626303063,689,346,38.16607371,-0.47855761,4.0,36.44380985681192,-32.44380985681192,32.44380985681192,coast_0_25km
24,c32m014e28,0.1545123995509312,659,331,38.372143,-0.593351,137.0,292.54572073576287,-155.54572073576287,155.54572073576287,coast_0_25km
24,c32m046e02,0.26362875710316036,713,360,38.467489,-0.44055,198.0,363.8565326761559,-165.8565326761559,165.8565326761559,coast_0_25km
24,c33m121e05,-0.3334308039942774,723,363,38.1917584,-0.5532587,18.0,77.299238814952,-59.299238814952005,59.299238814952005,coast_0_25km
24,c33m121e06,-0.37629710997086185,725,363,38.227528,-0.522917,112.0,77.45901105710172,34.54098894289828,34.54098894289828,coast_0_25km
24,c34m902e02,-0.019887677422429473,723,362,37.910003,-0.842979,163.0,65.71781819830666,97.28218180169334,97.28218180169334,coast_0_25km
48,c01m080e01,-0.42189039391176975,721,361,40.619,-0.1,980.0,886.3688260963359,93.63117390366416,93.63117390366416,interior_gt25km
48,c01m080e03,-0.08163385760096908,692,362,40.6194085,-0.1327258,766.0,904.8264905073412,-138.8264905073413,138.8264905073413,interior_gt25km
48,c01m091e01,-0.20902280347831992,719,361,40.5325,-0.2625,1074.0,1066.999730113776,7.000269886224032,7.000269886224032,interior_gt25km
48,c01m127e01,-0.3452739851592951,723,362,40.6032437,0.0459578,644.0,704.758949806194,-60.75894980619398,60.75894980619398,interior_gt25km
48,c02m042e03,-0.151421119340579,663,347,40.505278,-0.000278,934.0,942.9169975643468,-8.91699756434673,8.91699756434673,interior_gt25km
48,c02m051e03,-0.5104041722577434,674,339,40.326729,-0.166699,1058.0,862.6968443420666,195.30315565793344,195.30315565793344,interior_gt25km
48,c03m052e02,-0.06726833104591101,722,362,40.52158009,0.15938222,447.0,544.5332809925904,-97.53328099259043,97.53328099259043,interior_gt25km
48,c03m093e04,-1.3834410162444364,721,361,40.690059,0.084398,1231.0,675.9463000232385,555.0536999767615,555.0536999767615,interior_gt25km
48,c03m121e01,-0.00202063559925747,722,362,40.522786,0.288061,268.0,378.8990670189002,-110.8990670189002,110.8990670189002,coast_0_25km
48,c04m005e01,0.08617978015420835,705,353,40.071606,-0.207666,248.0,496.8423800573243,-248.8423800573243,248.8423800573243,coast_0_25km
48,c04m055e02,-0.33535019343127825,719,362,40.245017,-0.286419,1074.0,911.0479435554564,162.9520564445437,162.9520564445437,interior_gt25km
48,c04m122e01,0.28785574035749906,720,361,40.157251,-0.162724,401.0,603.8349029000294,-202.83490290002945,202.83490290002945,coast_0_25km
48,c05m028e04,0.6322549623468525,685,354,40.034167,0.038611,7.0,151.8512793004661,-144.8512793004661,144.8512793004661,coast_0_25km
48,c05m031e04,0.12514707694900373,723,362,40.0149498,-0.1204551,176.0,286.2340962606133,-110.23409626061328,110.23409626061328,coast_0_25km
48,c05m040e13,0.24877663569077102,712,357,39.985905,-0.029754,22.0,139.75491994444323,-117.75491994444324,117.75491994444324,coast_0_25km
48,c05m041e09,0.012834672926413493,723,362,39.89845081,0.68438656,42.0,6.447863718134417,35.552136281865586,35.552136281865586,interior_gt25km
48,c05m050e01,-0.0382233967090031,715,362,40.311389,0.121111,186.0,371.7092997877576,-185.70929978775763,185.70929978775763,coast_0_25km
48,c05m105e08,0.011038237690887742,723,362,40.269972,-0.019722,744.0,640.5442302413998,103.45576975860024,103.45576975860024,coast_0_25km
48,c05m105e09,0.2854497873153332,723,362,40.22781,-0.077847,314.0,637.8509272784383,-323.85092727843835,323.85092727843835,coast_0_25km
48,c05m128e02,0.161299276663316,723,362,40.114498,-0.054284,350.0,395.5242354531898,-45.52423545318982,45.52423545318982,coast_0_25km
48,c06m002e01,-0.06659302211524765,723,362,39.901444,-0.341073,510.0,413.8620090847212,96.1379909152788,96.1379909152788,coast_0_25km
48,c06m021e02,0.13368820741277332,722,362,39.92835,-0.197211,98.0,286.6964332846926,-188.6964332846926,188.6964332846926,coast_0_25km
48,c06m057e02,-0.11747034508447596,718,361,39.8830127,-0.3093108,342.0,360.7472846318784,-18.74728463187836,18.74728463187836,coast_0_25km
48,c06m901e02,0.03621498465856898,703,353,39.8978,-0.115,25.0,173.47209628798493,-148.47209628798493,148.47209628798493,coast_0_25km
48,c07m056e01,-0.0672818830039531,664,347,39.8489,-0.3253,390.0,339.7043964232446,50.29560357675541,50.29560357675541,coast_0_25km
48,c07m114e01,-0.18015312288378604,723,362,39.919983,-0.687305,773.0,809.4290047754681,-36.42900477546812,36.42900477546812,interior_gt25km
48,c07m115e01,-0.3967426145021271,706,362,39.981644,-0.745977,1000.0,965.7343764399172,34.26562356008276,34.26562356008276,interior_gt25km
48,c07m115e03,-0.7088333795778624,684,357,39.96057,-0.77994,1194.0,952.7636157592924,241.2363842407077,241.2363842407077,interior_gt25km
48,c08m131e01,-0.09646704143974572,699,350,39.964246,-0.394551,637.0,545.7644973256868,91.23550267431324,91.23550267431324,interior_gt25km
48,c09m201e01,-0.0848462484358854,723,362,40.044336,-1.141663,1110.0,1146.239221927403,-36.23922192740292,36.23922192740292,interior_gt25km
48,c10m036e01,-0.24350063068320638,699,351,39.885172,-1.014398,960.0,979.943658133569,-19.943658133568988,19.943658133568988,interior_gt25km
48,c10m106e01,0.24228724941787905,708,359,39.747778,-0.99916666,470.0,826.7662011075266,-356.7662011075266,356.7662011075266,interior_gt25km
48,c10m241e01,-0.020532847713450764,723,362,39.8667,-1.0836,826.0,980.5954559458364,-154.59545594583642,154.59545594583642,interior_gt25km
48,c11m070e03,0.021171744490827038,661,339,39.593094,-0.464074,91.0,241.4276861273687,-150.4276861273687,150.4276861273687,coast_0_25km
48,c11m116e02,0.022837367343848225,723,362,39.564861,-0.528879,100.0,271.0874254858887,-171.08742548588867,171.08742548588867,coast_0_25km
48,c11m256e02,0.08684822831808803,710,359,39.56562,-0.623345,111.0,355.35966222401373,-244.35966222401373,244.35966222401373,interior_gt25km
48,c11m902e01,0.06963592296283228,723,362,39.769479,-0.5206089,578.0,420.5343652445857,157.46563475541427,157.46563475541427,interior_gt25km
48,c13m009e01,-0.07707479100097392,715,358,39.543711,-0.346781,10.0,138.1003142088098,-128.1003142088098,128.1003142088098,coast_0_25km
48,c15m250e15,-0.014778405209097345,711,356,39.476774,-0.390072,19.0,133.2430011771812,-114.2430011771812,114.2430011771812,coast_0_25km
48,c15m250e16,-0.39344998972384015,719,361,39.3591,-0.347,1.0,79.71119469058077,-78.71119469058077,78.71119469058077,coast_0_25km
