lead_h,sensitivity,block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
24,raw_abs_delta_z_lt_100m,3,avamet,ifs_hres,53554,76,363,1.6245656534196102,1.579783101255474,1.6704682893673621,0.0,2
24,raw_abs_delta_z_lt_100m,3,avamet,pangu_hres_init,53554,76,363,1.6314451385355608,1.5856055399035593,1.679812459432668,0.0,3
24,raw_abs_delta_z_lt_100m,3,era5_station,pangu_hres_init,53554,76,363,0.8361933121224161,0.809168170959117,0.8624194485415762,1.0,1
24,raw_abs_delta_z_lt_100m,3,era5_station,graphcast_hres_init,53554,76,363,0.916503214446489,0.8887189564543441,0.9428624907101119,0.0,2
24,raw_abs_delta_z_lt_100m,3,era5_station,ifs_hres,53554,76,363,1.1421133295490875,1.1049210670527663,1.179331808782287,0.0,3
24,raw_abs_delta_z_lt_100m,5,avamet,graphcast_hres_init,53554,76,363,1.5558203524628162,1.511787654688747,1.6051078866583428,1.0,1
24,raw_abs_delta_z_lt_100m,5,avamet,ifs_hres,53554,76,363,1.6245656534196102,1.5722261439462564,1.676486570930177,0.0,2
24,raw_abs_delta_z_lt_100m,5,avamet,pangu_hres_init,53554,76,363,1.6314451385355608,1.5823484986143166,1.6882505133398893,0.0,3
24,raw_abs_delta_z_lt_100m,5,era5_station,pangu_hres_init,53554,76,363,0.8361933121224161,0.8074160024924774,0.8660675902276316,1.0,1
24,raw_abs_delta_z_lt_100m,5,era5_station,graphcast_hres_init,53554,76,363,0.916503214446489,0.8886790989253507,0.9442139342287471,0.0,2
24,raw_abs_delta_z_lt_100m,5,era5_station,ifs_hres,53554,76,363,1.1421133295490875,1.099894002747022,1.1813391310262509,0.0,3
24,raw_abs_delta_z_lt_100m,7,avamet,graphcast_hres_init,53554,76,363,1.5558203524628162,1.5073028723401625,1.6053285995800974,1.0,1
24,raw_abs_delta_z_lt_100m,7,avamet,ifs_hres,53554,76,363,1.6245656534196102,1.571681618627861,1.6819208990516734,0.0,2
