cell_id,mae_advantage_c,rmse_advantage_c,minimum_days,maximum_days,sites,mean_latitude,mean_longitude,absolute_latitude_deg,altitude_m,station_minus_era5_elevation_m,absolute_elevation_mismatch_m,era5_orography_sd_m,era5_filtered_subgrid_orography_sd_m,era5_subgrid_orography_slope,era5_land_fraction_100km,era5_landsea_heterogeneity_100km,climate_belt,spatial_block
b146s0015,-1.3655861008178014,-1.4965545046959818,365,365,1,42.1,19.1,42.1,6.0,-125.19287199247526,125.19287199247526,114.31499633789198,67.5311486816414,0.0192176660895349,0.5967216001012325,0.4351328598268661,subtropical,13_19
b146s0016,-1.237813196992153,-1.4479090781047794,364,364,1,42.1,19.5333333,42.1,43.0,-316.2564759191478,316.2564759191478,221.65135356697544,165.44316889505643,0.0390479303075394,0.6926448830269696,0.4086188881576975,subtropical,13_19
b146s0017,-0.5374512338001697,-0.711540673964663,365,365,1,41.961622,21.621381,41.961622,238.04,-289.0559133330273,289.0559133330273,241.06865444321855,145.17355460586754,0.0406922420338462,0.956655898316338,0.1550909262870488,subtropical,13_20
b146s0026,-1.2198181029064996,-1.6241359339561499,365,365,2,41.54166665,32.06666665,41.54166665,23.0,-186.99236871622557,186.99236871622557,95.20962082472136,70.00729106965505,0.0158831731861809,0.5074730005000615,0.4642625261936943,subtropical,13_21
b146s0035,-0.6966289789620825,-0.8658935744971473,362,362,1,42.2666666,42.6333333,42.2666666,114.0,-296.31251309590766,296.31251309590766,230.09454424702133,101.70128302635024,0.0267256565353195,0.860478042457175,0.3082869901799123,subtropical,13_22
b146s0038,-4.25943267212989,-4.157065591758558,365,365,1,41.6666666,46.65,41.6666666,490.0,-861.0482319685748,861.0482319685748,379.15890206451104,220.53144532223325,0.0486309273715489,0.9176411783642094,0.2377387326675818,subtropical,13_22
b146s0068,-0.467661513601272,-0.48272393482976345,365,365,1,41.7166666,82.95,41.7166666,1100.0,-95.972558332056,95.972558332056,100.53630130358468,63.96211096066951,0.0183737508218367,0.9973672671135938,0.0072672191845246,subtropical,13_26
b146s0071,-0.04806787336548971,-0.258107398272714,365,365,1,41.7333333,85.8166666,41.7333333,903.0,-228.01889453886,228.01889453886,203.60098129698503,52.17626863874805,0.0256107551574604,0.9889008869237138,0.053942494658053,subtropical,13_26
b146s0089,-0.5699645581032243,-0.619512179316024,365,365,1,41.5666666,108.5166666,41.5666666,1290.0,-76.55124135751703,76.55124135751703,63.62492175284977,39.91772319820319,0.0104726842158589,0.998803041390438,0.0034034047208455,subtropical,13_28
b146s0091,-1.0119880776858627,-1.3833251851045463,365,365,1,41.7,110.4333333,41.7,1377.0,-75.99621483548367,75.99621483548367,46.37290086978288,22.216346333908746,0.0056949234234291,0.9989227564368672,0.0033556264226127,subtropical,13_29
b146s0094,0.020685387180278497,0.0015056237453794363,365,365,1,41.9,114.0,41.9,1484.0,24.783530021720253,24.783530021720253,40.16049804687496,28.98745727539059,0.0071242958307266,0.9943187327100848,0.0097504289673502,subtropical,13_29
b146s0096,-0.6530456540381034,-1.0609159365246301,365,365,1,42.1833333,116.4666666,42.1833333,1247.0,-81.61557467429748,81.61557467429748,59.92436542408822,40.25200485000907,0.0104483847202975,0.9947397785689898,0.0137894951217383,subtropical,13_29
b146s0097,-0.7646979641748001,-0.9164325098318905,365,365,1,41.9333333,117.75,41.9333333,844.0,-269.09105335266804,269.09105335266804,102.84184064241929,90.76716486068712,0.0211436056273042,0.9937508207307056,0.0474593572577291,subtropical,13_29
b146s0098,-0.2095183872228276,-0.20448443025518018,365,365,1,42.3,118.8333333,42.3,567.0,-158.40768624909128,158.40768624909128,79.54268638793653,58.69101788074413,0.0141788021986635,0.9912758369190288,0.0628636705169871,subtropical,13_29
