unit,extraction,stratum,block_days,model_a,model_b,era5_delta_mae_a_minus_b_c,avamet_delta_mae_a_minus_b_c,avamet_minus_era5_delta_mae_c,switch_ci_low_c,switch_ci_high_c,p_switch_gt_zero,p_pairwise_order_reverses,lead_h
station,nearest,sparse_2_3,3,ifs_hres,graphcast_hres_init,0.256817102432251,0.12693211469552956,-0.12932282743285517,-0.15706069602167524,-0.1010946963496184,0.0,0.0,24
station,nearest,sparse_2_3,3,ifs_hres,pangu_hres_init,0.2979675531387329,0.04697096647981791,-0.24984228437076111,-0.2873515975557608,-0.2107677958639984,0.0,0.002,24
station,nearest,sparse_2_3,5,graphcast_hres_init,pangu_hres_init,0.041150450706481934,-0.07996114821571165,-0.12051673406456823,-0.15079556588918433,-0.09011830428500266,0.0,0.9885,24
station,nearest,sparse_2_3,5,ifs_hres,graphcast_hres_init,0.256817102432251,0.12693211469552956,-0.1299946518653835,-0.16263157412534446,-0.098214631848963,0.0,0.0,24
station,nearest,sparse_2_3,5,ifs_hres,pangu_hres_init,0.2979675531387329,0.04697096647981791,-0.2505113859299517,-0.2941448190493383,-0.20862495219028465,0.0,0.0015,24
station,nearest,sparse_2_3,7,graphcast_hres_init,pangu_hres_init,0.041150450706481934,-0.07996114821571165,-0.1214157154207442,-0.15557977839552328,-0.08984112262918707,0.0,0.983,24
station,nearest,sparse_2_3,7,ifs_hres,graphcast_hres_init,0.256817102432251,0.12693211469552956,-0.12983768311616253,-0.1632715865376319,-0.09723707115257596,0.0,0.0,24
station,nearest,sparse_2_3,7,ifs_hres,pangu_hres_init,0.2979675531387329,0.04697096647981791,-0.2512533985369067,-0.2964760579028951,-0.20584003966388995,0.0,0.0065,24
cell_aggregate,nearest,dense_4_plus,1,graphcast_hres_init,pangu_hres_init,-0.020073294639587402,-0.15518175214546903,-0.13548625117777402,-0.16312748065880944,-0.1090743150208336,0.0,0.0895,48
cell_aggregate,nearest,dense_4_plus,1,ifs_hres,graphcast_hres_init,0.3235069513320923,0.21739505191016884,-0.10560080889949282,-0.13284116976667693,-0.07886997831982952,0.0,0.0,48
cell_aggregate,nearest,dense_4_plus,1,ifs_hres,pangu_hres_init,0.3034336566925049,0.0622132997646998,-0.24108706007726685,-0.2776530002477566,-0.20524864015509756,0.0,0.0005,48
cell_aggregate,nearest,dense_4_plus,3,graphcast_hres_init,pangu_hres_init,-0.020073294639587402,-0.15518175214546903,-0.13505363327315859,-0.1644982611884513,-0.10565781938829988,0.0,0.122,48
cell_aggregate,nearest,dense_4_plus,3,ifs_hres,graphcast_hres_init,0.3235069513320923,0.21739505191016884,-0.1066254440689834,-0.13668746318120645,-0.07673337014297918,0.0,0.0,48
cell_aggregate,nearest,dense_4_plus,3,ifs_hres,pangu_hres_init,0.3034336566925049,0.0622132997646998,-0.241679077342142,-0.2820160158440865,-0.20271239749193115,0.0,0.0025,48
cell_aggregate,nearest,dense_4_plus,5,graphcast_hres_init,pangu_hres_init,-0.020073294639587402,-0.15518175214546903,-0.13515928373869798,-0.16441668418311253,-0.105233015473392,0.0,0.1165,48
cell_aggregate,nearest,dense_4_plus,5,ifs_hres,graphcast_hres_init,0.3235069513320923,0.21739505191016884,-0.10632937259991306,-0.13934467498283137,-0.07383746735685606,0.0,0.0,48
