unit,extraction,stratum,block_days,reference,model,n_common_cases,n_units,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank,lead_h
station,bilinear,single_station,1,avamet,pangu_hres_init,11336,16,363,1.6650732835036979,1.6319356437772357,1.698619585507946,0.0,3,24
station,bilinear,single_station,1,era5,graphcast_hres_init,11336,16,363,0.8639656456656005,0.8406164731506583,0.8881061834138257,0.834,1,24
station,bilinear,single_station,1,era5,pangu_hres_init,11336,16,363,0.8786679433818483,0.8506778205987587,0.906087183290129,0.166,2,24
station,bilinear,single_station,1,era5,ifs_hres,11336,16,363,1.0443567053692326,1.0133632268865258,1.0772715366487886,0.0,3,24
station,bilinear,single_station,3,avamet,ifs_hres,11336,16,363,1.519124234673189,1.4830485660822672,1.556507070703481,0.632,1,24
station,bilinear,single_station,3,avamet,graphcast_hres_init,11336,16,363,1.522093177035213,1.4899131794566096,1.5564710675845144,0.368,2,24
station,bilinear,single_station,3,avamet,pangu_hres_init,11336,16,363,1.6650732835036979,1.6274904862857469,1.7050895730351205,0.0,3,24
station,bilinear,single_station,3,era5,graphcast_hres_init,11336,16,363,0.8639656456656005,0.8358679479047914,0.8928841868600147,0.825,1,24
station,bilinear,single_station,3,era5,pangu_hres_init,11336,16,363,0.8786679433818483,0.8489759183225295,0.9109454259835982,0.175,2,24
station,bilinear,single_station,3,era5,ifs_hres,11336,16,363,1.0443567053692326,1.0043260588181935,1.0861021725936195,0.0,3,24
station,bilinear,single_station,5,avamet,ifs_hres,11336,16,363,1.519124234673189,1.4821828308590075,1.55782974576233,0.637,1,24
station,bilinear,single_station,5,avamet,graphcast_hres_init,11336,16,363,1.522093177035213,1.4898115190933816,1.5574213115421807,0.363,2,24
station,bilinear,single_station,5,avamet,pangu_hres_init,11336,16,363,1.6650732835036979,1.6242151531947318,1.7086752968249215,0.0,3,24
station,bilinear,single_station,5,era5,graphcast_hres_init,11336,16,363,0.8639656456656005,0.8354680625986799,0.8948919485871167,0.799,1,24
station,bilinear,single_station,5,era5,pangu_hres_init,11336,16,363,0.8786679433818483,0.8462068766568337,0.9132259465489609,0.201,2,24
station,bilinear,single_station,5,era5,ifs_hres,11336,16,363,1.0443567053692326,1.0002221979886512,1.0915720378254603,0.0,3,24
station,bilinear,single_station,7,avamet,ifs_hres,11336,16,363,1.519124234673189,1.48125206941924,1.5567628921635615,0.625,1,24
station,bilinear,single_station,7,avamet,graphcast_hres_init,11336,16,363,1.522093177035213,1.4884232778490933,1.5557758458361783,0.375,2,24
station,bilinear,single_station,7,avamet,pangu_hres_init,11336,16,363,1.6650732835036979,1.6247647479092395,1.7096240871348491,0.0,3,24
station,bilinear,single_station,7,era5,graphcast_hres_init,11336,16,363,0.8639656456656005,0.832144794769606,0.8967858473920587,0.8045,1,24
station,bilinear,single_station,7,era5,pangu_hres_init,11336,16,363,0.8786679433818483,0.8426823512434476,0.9166308144591306,0.1955,2,24
station,bilinear,single_station,7,era5,ifs_hres,11336,16,363,1.0443567053692326,0.996265309211475,1.09386261242541,0.0,3,24
station,bilinear,sparse_2_3,1,avamet,graphcast_hres_init,24815,35,363,1.5520664958572346,1.5173577044445632,1.5901241297582756,1.0,1,24
station,bilinear,sparse_2_3,1,avamet,ifs_hres,24815,35,363,1.6344167345333571,1.600484145559276,1.6705306503382868,0.0,2,24
station,bilinear,sparse_2_3,1,avamet,pangu_hres_init,24815,35,363,1.654540125828546,1.6182039713116418,1.693416102045694,0.0,3,24
station,bilinear,sparse_2_3,1,era5,pangu_hres_init,24815,35,363,0.9179429145884239,0.8878856847956879,0.9474633122088214,0.9845,1,24
station,bilinear,sparse_2_3,1,era5,graphcast_hres_init,24815,35,363,0.9483691655061649,0.924788550062215,0.9729022116698227,0.0155,2,24
station,bilinear,sparse_2_3,1,era5,ifs_hres,24815,35,363,1.1605635143345991,1.1296241757839491,1.1937977258165247,0.0,3,24
station,bilinear,sparse_2_3,3,avamet,graphcast_hres_init,24815,35,363,1.5520664958572346,1.5046185512349057,1.6029904877291354,1.0,1,24
station,bilinear,sparse_2_3,3,avamet,ifs_hres,24815,35,363,1.6344167345333571,1.5870133778356068,1.679059314523818,0.0,2,24
station,bilinear,sparse_2_3,3,avamet,pangu_hres_init,24815,35,363,1.654540125828546,1.6089166325664481,1.702403291800084,0.0,3,24
station,bilinear,sparse_2_3,3,era5,pangu_hres_init,24815,35,363,0.9179429145884239,0.8866550252721158,0.9505415707801818,0.974,1,24
station,bilinear,sparse_2_3,3,era5,graphcast_hres_init,24815,35,363,0.9483691655061649,0.9231413212482276,0.9750341152395428,0.026,2,24
station,bilinear,sparse_2_3,3,era5,ifs_hres,24815,35,363,1.1605635143345991,1.1209222919247541,1.2044015054540655,0.0,3,24
station,bilinear,sparse_2_3,5,avamet,graphcast_hres_init,24815,35,363,1.5520664958572346,1.4956582765709812,1.610938445360594,1.0,1,24
station,bilinear,sparse_2_3,5,avamet,ifs_hres,24815,35,363,1.6344167345333571,1.5817290462872085,1.6868461588623305,0.0,2,24
station,bilinear,sparse_2_3,5,avamet,pangu_hres_init,24815,35,363,1.654540125828546,1.5997452185358942,1.7101716566279759,0.0,3,24
station,bilinear,sparse_2_3,5,era5,pangu_hres_init,24815,35,363,0.9179429145884239,0.8846410565119349,0.9517702339847521,0.9655,1,24
station,bilinear,sparse_2_3,5,era5,graphcast_hres_init,24815,35,363,0.9483691655061649,0.9202338186944448,0.9748712163661817,0.0345,2,24
