unit,extraction,stratum,block_days,n_common_cases,n_units,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_pair,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability,lead_h
cell_aggregate,nearest,dense_4_plus,5,8652,12,361,graphcast_hres_init,graphcast_hres_init,0.0525,graphcast_hres_init__minus__pangu_hres_init,-0.1422967515902181,-0.17107039287079237,-0.1148063186268842,0.0525,72
cell_aggregate,nearest,dense_4_plus,7,8652,12,361,graphcast_hres_init,graphcast_hres_init,0.0665,graphcast_hres_init__minus__pangu_hres_init,-0.1424122672195923,-0.17021451944978563,-0.11580016693253375,0.0665,72
cell_aggregate,nearest,multi_station_cells,1,19125,27,361,graphcast_hres_init,pangu_hres_init,0.851,graphcast_hres_init__minus__pangu_hres_init,-0.12918436628690552,-0.15071395772839943,-0.10770551602726244,0.851,72
cell_aggregate,nearest,multi_station_cells,3,19125,27,361,graphcast_hres_init,pangu_hres_init,0.816,graphcast_hres_init__minus__pangu_hres_init,-0.12907330597715094,-0.15546555366591167,-0.10418555503956914,0.816,72
cell_aggregate,nearest,multi_station_cells,5,19125,27,361,graphcast_hres_init,pangu_hres_init,0.8485,graphcast_hres_init__minus__pangu_hres_init,-0.12982640217806918,-0.15603436835532664,-0.10529835739003593,0.8485,72
cell_aggregate,nearest,multi_station_cells,7,19125,27,361,graphcast_hres_init,pangu_hres_init,0.8395,graphcast_hres_init__minus__pangu_hres_init,-0.129421855286848,-0.15537031329608383,-0.10276314209102941,0.8395,72
cell_aggregate,nearest,sparse_2_3,1,10473,15,361,graphcast_hres_init,pangu_hres_init,0.9975,graphcast_hres_init__minus__pangu_hres_init,-0.1185168963283477,-0.14650549960959744,-0.08997037799774191,0.9975,72
cell_aggregate,nearest,sparse_2_3,3,10473,15,361,graphcast_hres_init,pangu_hres_init,0.9915,graphcast_hres_init__minus__pangu_hres_init,-0.11822411489523685,-0.14916076898221864,-0.08758603493091059,0.9915,72
cell_aggregate,nearest,sparse_2_3,5,10473,15,361,graphcast_hres_init,pangu_hres_init,0.9905,graphcast_hres_init__minus__pangu_hres_init,-0.11867660353343414,-0.1515582945359187,-0.08572464809937771,0.9905,72
cell_aggregate,nearest,sparse_2_3,7,10473,15,361,graphcast_hres_init,pangu_hres_init,0.9885,graphcast_hres_init__minus__pangu_hres_init,-0.11910159149824823,-0.15384660466896696,-0.08510943175351292,0.9885,72
station,bilinear,all_eligible,1,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16196322319832104,-0.18307092557489316,-0.13993445931979534,1.0,72
station,bilinear,all_eligible,3,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16262404030710403,-0.18770356761870427,-0.13741032263241834,1.0,72
station,bilinear,all_eligible,5,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1626944709556528,-0.1877567458960859,-0.1376002824585578,1.0,72
station,bilinear,all_eligible,7,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16197058142766652,-0.1866783054540917,-0.1382046500336132,1.0,72
station,bilinear,dense_4_plus,1,66461,95,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16546963625568403,-0.19275633043818055,-0.14155078187831588,1.0,72
