draw,reference,model,mae_c_day_weighted
118,era5_station,ifs_hres,1.1786105764195398
118,era5_station,graphcast_hres_init,0.9521090297486254
118,era5_station,pangu_hres_init,0.9051829929932508
119,era5_station,ifs_hres,1.176338586506883
119,era5_station,graphcast_hres_init,0.9660999986153647
119,era5_station,pangu_hres_init,0.9030740269024107
120,era5_station,ifs_hres,1.1766189459640573
120,era5_station,graphcast_hres_init,0.9658646844367617
120,era5_station,pangu_hres_init,0.9112423083573143
121,era5_station,ifs_hres,1.2183222389869932
121,era5_station,graphcast_hres_init,0.9787722050965013
121,era5_station,pangu_hres_init,0.8932760467401073
122,era5_station,ifs_hres,1.158072591829772
122,era5_station,graphcast_hres_init,0.9530190524188172
122,era5_station,pangu_hres_init,0.8946278547009078
123,era5_station,ifs_hres,1.193085870661955
123,era5_station,graphcast_hres_init,0.9659295264493829
123,era5_station,pangu_hres_init,0.9038436332870906
124,era5_station,ifs_hres,1.1727649110438594
124,era5_station,graphcast_hres_init,0.9463871431157481
124,era5_station,pangu_hres_init,0.8805256409915765
125,era5_station,ifs_hres,1.186185285962863
125,era5_station,graphcast_hres_init,0.9480423482591376
125,era5_station,pangu_hres_init,0.8841977135547383
126,era5_station,ifs_hres,1.1749806138638461
126,era5_station,graphcast_hres_init,0.951428734632437
126,era5_station,pangu_hres_init,0.8962700673426408
127,era5_station,ifs_hres,1.1458637746829978
127,era5_station,graphcast_hres_init,0.9396158617257832
127,era5_station,pangu_hres_init,0.9173261517356063
128,era5_station,ifs_hres,1.2125552285286008
128,era5_station,graphcast_hres_init,0.9608861850369679
128,era5_station,pangu_hres_init,0.8888844903475727
129,era5_station,ifs_hres,1.2043107200353305
129,era5_station,graphcast_hres_init,0.9583449079056638
129,era5_station,pangu_hres_init,0.8994861774543406
130,era5_station,ifs_hres,1.1914731610269589
130,era5_station,graphcast_hres_init,0.9641534619302558
130,era5_station,pangu_hres_init,0.9037304149252237
131,era5_station,ifs_hres,1.1735772039678338
131,era5_station,graphcast_hres_init,0.9630982059593937
131,era5_station,pangu_hres_init,0.893736404339554
132,era5_station,ifs_hres,1.1587264261510273
132,era5_station,graphcast_hres_init,0.9424703225081483
132,era5_station,pangu_hres_init,0.8908765847232452
133,era5_station,ifs_hres,1.1667384430265269
133,era5_station,graphcast_hres_init,0.9500179347413936
133,era5_station,pangu_hres_init,0.9127616315312193
134,era5_station,ifs_hres,1.1520798225771522
134,era5_station,graphcast_hres_init,0.9390447167293872
134,era5_station,pangu_hres_init,0.9143435355744818
135,era5_station,ifs_hres,1.1967155815559787
135,era5_station,graphcast_hres_init,0.9566175976852908
135,era5_station,pangu_hres_init,0.893192799757326
136,era5_station,ifs_hres,1.1815259454694642
136,era5_station,graphcast_hres_init,0.9546596749016324
136,era5_station,pangu_hres_init,0.9036393913040297
137,era5_station,ifs_hres,1.1713991181770187
137,era5_station,graphcast_hres_init,0.9367292934916149
137,era5_station,pangu_hres_init,0.8697009167910237
138,era5_station,ifs_hres,1.1866571134204291
138,era5_station,graphcast_hres_init,0.9590813918318895
138,era5_station,pangu_hres_init,0.9067335389612599
139,era5_station,ifs_hres,1.2051335211317422
139,era5_station,graphcast_hres_init,0.9595334301045518
139,era5_station,pangu_hres_init,0.912810550260686
140,era5_station,ifs_hres,1.1555769707810526
140,era5_station,graphcast_hres_init,0.9258059575263375
140,era5_station,pangu_hres_init,0.8852901934693084
141,era5_station,ifs_hres,1.1478349130722862
141,era5_station,graphcast_hres_init,0.9390449052609702
141,era5_station,pangu_hres_init,0.8872803366054157
142,era5_station,ifs_hres,1.1892783928777582
142,era5_station,graphcast_hres_init,0.9460978531178746
142,era5_station,pangu_hres_init,0.8907963169777477
143,era5_station,ifs_hres,1.1639912448733938
143,era5_station,graphcast_hres_init,0.9390727810434869
143,era5_station,pangu_hres_init,0.9053577306399538
144,era5_station,ifs_hres,1.1803055875080206
144,era5_station,graphcast_hres_init,0.9470715619757422
144,era5_station,pangu_hres_init,0.9098169784526452
145,era5_station,ifs_hres,1.1721736215579681
145,era5_station,graphcast_hres_init,0.960373453414505
145,era5_station,pangu_hres_init,0.8957207504923212
146,era5_station,ifs_hres,1.1814732319560595
146,era5_station,graphcast_hres_init,0.9611433713330377
146,era5_station,pangu_hres_init,0.920208518603465
147,era5_station,ifs_hres,1.171187768171491
147,era5_station,graphcast_hres_init,0.949656509185031
147,era5_station,pangu_hres_init,0.9004930143918514
148,era5_station,ifs_hres,1.1843262931524823
148,era5_station,graphcast_hres_init,0.9717677534146208
148,era5_station,pangu_hres_init,0.9017059677060641
149,era5_station,ifs_hres,1.158925789320007
149,era5_station,graphcast_hres_init,0.950360238883279
149,era5_station,pangu_hres_init,0.881125382470994
150,era5_station,ifs_hres,1.1503809853752547
150,era5_station,graphcast_hres_init,0.9389841519718969
150,era5_station,pangu_hres_init,0.8814067895718266
151,era5_station,ifs_hres,1.1715120568767952
151,era5_station,graphcast_hres_init,0.9330323247593277
151,era5_station,pangu_hres_init,0.8865016594686331
152,era5_station,ifs_hres,1.2112842897484644
152,era5_station,graphcast_hres_init,0.958346239660345
152,era5_station,pangu_hres_init,0.9083771832264281
153,era5_station,ifs_hres,1.1960668905970087
153,era5_station,graphcast_hres_init,0.9692266306172294
153,era5_station,pangu_hres_init,0.9036933161344634
154,era5_station,ifs_hres,1.1882381502201242
154,era5_station,graphcast_hres_init,0.9579612732317867
154,era5_station,pangu_hres_init,0.9116957886369769
155,era5_station,ifs_hres,1.1722862641863763
155,era5_station,graphcast_hres_init,0.9404145318680313
155,era5_station,pangu_hres_init,0.8779922828582137
156,era5_station,ifs_hres,1.1765060888299403
156,era5_station,graphcast_hres_init,0.9527541367803714
156,era5_station,pangu_hres_init,0.9072614207392715
157,era5_station,ifs_hres,1.1726120893618877
157,era5_station,graphcast_hres_init,0.9462546457334604
157,era5_station,pangu_hres_init,0.9115730449392581
158,era5_station,ifs_hres,1.173593098842534
158,era5_station,graphcast_hres_init,0.9575572174100248
158,era5_station,pangu_hres_init,0.8937281531443445
159,era5_station,ifs_hres,1.1949402088898833
159,era5_station,graphcast_hres_init,0.9555513092210728
159,era5_station,pangu_hres_init,0.8811977990644325
160,era5_station,ifs_hres,1.1649707633882276
160,era5_station,graphcast_hres_init,0.955434917890618
160,era5_station,pangu_hres_init,0.9076305524968344
161,era5_station,ifs_hres,1.1516262171879144
161,era5_station,graphcast_hres_init,0.9436920695010853
161,era5_station,pangu_hres_init,0.8843610710747192
162,era5_station,ifs_hres,1.1940161423706919
162,era5_station,graphcast_hres_init,0.9719925852631739
162,era5_station,pangu_hres_init,0.9110872686810106
163,era5_station,ifs_hres,1.1845927876041193
163,era5_station,graphcast_hres_init,0.9600298165687062
163,era5_station,pangu_hres_init,0.9052432552520111
164,era5_station,ifs_hres,1.1768430531192968
164,era5_station,graphcast_hres_init,0.9617303520856171
164,era5_station,pangu_hres_init,0.9117693166632307
165,era5_station,ifs_hres,1.1755864978902912
165,era5_station,graphcast_hres_init,0.9677596151363415
165,era5_station,pangu_hres_init,0.8989555255287539
166,era5_station,ifs_hres,1.196712692986801
166,era5_station,graphcast_hres_init,0.9523946107549551
166,era5_station,pangu_hres_init,0.9040922505390289
167,era5_station,ifs_hres,1.2089281990142249
167,era5_station,graphcast_hres_init,0.9621094115745414
167,era5_station,pangu_hres_init,0.9102173103727509
168,era5_station,ifs_hres,1.1830076643433198
168,era5_station,graphcast_hres_init,0.9368170549181927
168,era5_station,pangu_hres_init,0.9021320779172386
169,era5_station,ifs_hres,1.19142606248712
169,era5_station,graphcast_hres_init,0.9582685100301573
169,era5_station,pangu_hres_init,0.9053593220335728
170,era5_station,ifs_hres,1.1905007222774462
170,era5_station,graphcast_hres_init,0.9356878602865155
170,era5_station,pangu_hres_init,0.9051670447537957
171,era5_station,ifs_hres,1.1793278456995875
171,era5_station,graphcast_hres_init,0.9673690745799844
171,era5_station,pangu_hres_init,0.8988970323260871
172,era5_station,ifs_hres,1.1796875328022212
172,era5_station,graphcast_hres_init,0.9394756017804397
172,era5_station,pangu_hres_init,0.8939737352508368
173,era5_station,ifs_hres,1.2048094466630168
173,era5_station,graphcast_hres_init,0.9730790965883895
173,era5_station,pangu_hres_init,0.9116721016502588
174,era5_station,ifs_hres,1.167807045550158
174,era5_station,graphcast_hres_init,0.9497343683337782
174,era5_station,pangu_hres_init,0.8875569405609715
175,era5_station,ifs_hres,1.163377707618805
175,era5_station,graphcast_hres_init,0.955710788743003
175,era5_station,pangu_hres_init,0.8922478503957139
176,era5_station,ifs_hres,1.161131916552897
176,era5_station,graphcast_hres_init,0.9556580001060085
176,era5_station,pangu_hres_init,0.893385459463809
177,era5_station,ifs_hres,1.1458833772284083
177,era5_station,graphcast_hres_init,0.9394788760904726
177,era5_station,pangu_hres_init,0.8669089464574691
178,era5_station,ifs_hres,1.1579669586437173
178,era5_station,graphcast_hres_init,0.9459149330859229
178,era5_station,pangu_hres_init,0.895533918152224
179,era5_station,ifs_hres,1.1778581288551735
179,era5_station,graphcast_hres_init,0.9542995323546211
179,era5_station,pangu_hres_init,0.9058975579867456
180,era5_station,ifs_hres,1.1340535775069531
180,era5_station,graphcast_hres_init,0.924875805137057
180,era5_station,pangu_hres_init,0.8756709847186515
181,era5_station,ifs_hres,1.1713901338682875
181,era5_station,graphcast_hres_init,0.9657839931305475
181,era5_station,pangu_hres_init,0.9185114136898992
182,era5_station,ifs_hres,1.1562467788743336
182,era5_station,graphcast_hres_init,0.9334074940605388
182,era5_station,pangu_hres_init,0.8842584000875322
183,era5_station,ifs_hres,1.1619948581705846
183,era5_station,graphcast_hres_init,0.958124406116874
183,era5_station,pangu_hres_init,0.8905705383924817
184,era5_station,ifs_hres,1.1782728519685643
184,era5_station,graphcast_hres_init,0.9591615221692571
184,era5_station,pangu_hres_init,0.9019044960908691
185,era5_station,ifs_hres,1.1671390741532888
185,era5_station,graphcast_hres_init,0.9735231184995469
185,era5_station,pangu_hres_init,0.9045105341517808
186,era5_station,ifs_hres,1.147198790417702
186,era5_station,graphcast_hres_init,0.9416969707147438
186,era5_station,pangu_hres_init,0.8736719381028027
187,era5_station,ifs_hres,1.1657243325966666
187,era5_station,graphcast_hres_init,0.9373919727309179
187,era5_station,pangu_hres_init,0.8898627470001947
188,era5_station,ifs_hres,1.154166207926068
188,era5_station,graphcast_hres_init,0.9340957571028797
188,era5_station,pangu_hres_init,0.9133781520327928
