lead_h,stratum_type,stratum,block_days,n_common_cases,n_stations,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_pair,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability
48,coast_stratum,interior_gt25km,7,47826,68,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.20889296192471357,-0.24649330294007543,-0.173533259865454,1.0
72,all_eligible,all,1,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16240531169707378,-0.18617264182492402,-0.14128063260844703,1.0
72,all_eligible,all,3,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16252255252788525,-0.18887390965226994,-0.13733812783150204,1.0
72,all_eligible,all,5,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16232895766607477,-0.18772214195656323,-0.13678468044557404,1.0
72,all_eligible,all,7,102412,146,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16228606274973814,-0.1882274224810099,-0.1369001578456026,1.0
72,altitude_stratum,altitude_high,1,34421,49,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.4011114990864068,-0.44465625900069733,-0.3549977210240833,1.0
72,altitude_stratum,altitude_high,3,34421,49,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.40116500727822774,-0.4588091277683454,-0.34385859926882556,1.0
72,altitude_stratum,altitude_high,5,34421,49,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.40119387477800855,-0.46262489486316793,-0.34264517915186116,1.0
72,altitude_stratum,altitude_high,7,34421,49,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.40053578229384407,-0.46081680065459096,-0.3421921081776874,1.0
72,altitude_stratum,altitude_low,1,34315,49,361,graphcast_hres_init,graphcast_hres_init,0.0415,graphcast_hres_init__minus__pangu_hres_init,-0.02899030466538535,-0.051762572339655574,-0.006050889083033942,0.0415
72,altitude_stratum,altitude_low,3,34315,49,361,graphcast_hres_init,graphcast_hres_init,0.08,graphcast_hres_init__minus__pangu_hres_init,-0.02865806907284454,-0.05541192384429638,-0.0007101964958128034,0.08
72,altitude_stratum,altitude_low,5,34315,49,361,graphcast_hres_init,graphcast_hres_init,0.075,graphcast_hres_init__minus__pangu_hres_init,-0.028361802211234775,-0.05684389247833517,0.0003632765059028812,0.075
72,altitude_stratum,altitude_low,7,34315,49,361,graphcast_hres_init,graphcast_hres_init,0.0825,graphcast_hres_init__minus__pangu_hres_init,-0.028808742303683715,-0.05877943557543504,-0.000726494195775165,0.0825
72,altitude_stratum,altitude_mid,1,33676,48,361,pangu_hres_init,pangu_hres_init,0.008,graphcast_hres_init__minus__pangu_hres_init,-0.054930327268396716,-0.08404186136439414,-0.024826901955740905,0.008
72,altitude_stratum,altitude_mid,3,33676,48,361,pangu_hres_init,pangu_hres_init,0.0235,graphcast_hres_init__minus__pangu_hres_init,-0.05414373709076785,-0.08736500546567463,-0.0191495159036485,0.0235
72,altitude_stratum,altitude_mid,5,33676,48,361,pangu_hres_init,pangu_hres_init,0.016,graphcast_hres_init__minus__pangu_hres_init,-0.055303077836169806,-0.08802210194917338,-0.021186221812325483,0.016
72,altitude_stratum,altitude_mid,7,33676,48,361,pangu_hres_init,pangu_hres_init,0.026,graphcast_hres_init__minus__pangu_hres_init,-0.05443625617756084,-0.08740552672306504,-0.020770008423474522,0.026
72,coast_stratum,coast_0_25km,1,54720,78,361,graphcast_hres_init,pangu_hres_init,0.9775,graphcast_hres_init__minus__pangu_hres_init,-0.12703894211559927,-0.1520933026845031,-0.1028376331958041,0.9775
72,coast_stratum,coast_0_25km,3,54720,78,361,graphcast_hres_init,pangu_hres_init,0.955,graphcast_hres_init__minus__pangu_hres_init,-0.12666992848065198,-0.15476791850988797,-0.09866253145160882,0.955
72,coast_stratum,coast_0_25km,5,54720,78,361,graphcast_hres_init,pangu_hres_init,0.956,graphcast_hres_init__minus__pangu_hres_init,-0.12651279811152225,-0.15505898226307013,-0.09849794906014583,0.956
72,coast_stratum,coast_0_25km,7,54720,78,361,graphcast_hres_init,pangu_hres_init,0.9395,graphcast_hres_init__minus__pangu_hres_init,-0.1266467819561016,-0.15609281838515163,-0.09821338372573173,0.9395
72,coast_stratum,interior_gt25km,1,47692,68,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.20341297041147036,-0.23461202141289064,-0.17163437742057383,1.0
72,coast_stratum,interior_gt25km,3,47692,68,361,graphcast_hres_init,pangu_hres_init,0.9985,graphcast_hres_init__minus__pangu_hres_init,-0.20284454235735425,-0.23730727775095217,-0.1689839219752397,0.9985
72,coast_stratum,interior_gt25km,5,47692,68,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.20389049184418007,-0.24122423700332354,-0.16851790245023604,1.0
72,coast_stratum,interior_gt25km,7,47692,68,361,graphcast_hres_init,pangu_hres_init,0.9995,graphcast_hres_init__minus__pangu_hres_init,-0.20288098907243596,-0.23728138085028663,-0.1685682663233299,0.9995
