lead_h,stratum_type,stratum,block_days,model_a,model_b,era5_delta_mae_a_minus_b_c,avamet_delta_mae_a_minus_b_c,avamet_minus_era5_delta_mae_c,switch_ci_low_c,switch_ci_high_c,p_switch_gt_zero,p_pairwise_order_reverses
24,coast_stratum,coast_0_25km,5,ifs_hres,graphcast_hres_init,0.2603252494310616,0.09682405102266523,-0.1634648473367393,-0.18888148389932502,-0.1389131403734134,0.0,0.0
24,coast_stratum,coast_0_25km,5,ifs_hres,pangu_hres_init,0.3124547524769141,0.033187460343907293,-0.279274030612023,-0.306294420045382,-0.25215195777291727,0.0,0.0235
24,coast_stratum,coast_0_25km,7,graphcast_hres_init,pangu_hres_init,0.05212950304585251,-0.06363659067875793,-0.11552444973284239,-0.14048520930529138,-0.09127643356554706,0.0,0.999
24,coast_stratum,coast_0_25km,7,ifs_hres,graphcast_hres_init,0.2603252494310616,0.09682405102266523,-0.16359132621072484,-0.18800246606573057,-0.1393134881718674,0.0,0.0
24,coast_stratum,coast_0_25km,7,ifs_hres,pangu_hres_init,0.3124547524769141,0.033187460343907293,-0.27911577594356723,-0.306090705756485,-0.2539743226524985,0.0,0.0255
24,coast_stratum,interior_gt25km,1,graphcast_hres_init,pangu_hres_init,0.09624405180126128,-0.0807708364963684,-0.1766687007755975,-0.20392636869528924,-0.15069401701436588,0.0,1.0
24,coast_stratum,interior_gt25km,1,ifs_hres,graphcast_hres_init,0.1819428605525093,0.0714816413418704,-0.11025245649626789,-0.13531309188357857,-0.08481599079716035,0.0,0.0
24,coast_stratum,interior_gt25km,1,ifs_hres,pangu_hres_init,0.2781869123537706,-0.009289195154497998,-0.28692115727186535,-0.323016065509872,-0.25245020297743476,0.0,0.7635
24,coast_stratum,interior_gt25km,3,graphcast_hres_init,pangu_hres_init,0.09624405180126128,-0.0807708364963684,-0.17739444129463744,-0.20758440228147368,-0.1484177996783946,0.0,1.0
24,coast_stratum,interior_gt25km,3,ifs_hres,graphcast_hres_init,0.1819428605525093,0.0714816413418704,-0.11049191465122528,-0.14048697269818788,-0.08102875803270856,0.0,0.0
24,coast_stratum,interior_gt25km,3,ifs_hres,pangu_hres_init,0.2781869123537706,-0.009289195154497998,-0.28788635594586265,-0.32578625908877706,-0.25022624465242327,0.0,0.738
24,coast_stratum,interior_gt25km,5,graphcast_hres_init,pangu_hres_init,0.09624405180126128,-0.0807708364963684,-0.17712353777196432,-0.20986020266548208,-0.14511468292632507,0.0,1.0
24,coast_stratum,interior_gt25km,5,ifs_hres,graphcast_hres_init,0.1819428605525093,0.0714816413418704,-0.11064186760345444,-0.1430219319945237,-0.07705900920663254,0.0,0.0
24,coast_stratum,interior_gt25km,5,ifs_hres,pangu_hres_init,0.2781869123537706,-0.009289195154497998,-0.28776540537541884,-0.32987680021757415,-0.24755564178146872,0.0,0.7105
24,coast_stratum,interior_gt25km,7,graphcast_hres_init,pangu_hres_init,0.09624405180126128,-0.0807708364963684,-0.17751512975117079,-0.2109953619956777,-0.1435579525197893,0.0,1.0
24,coast_stratum,interior_gt25km,7,ifs_hres,graphcast_hres_init,0.1819428605525093,0.0714816413418704,-0.11042537592960426,-0.14457222121728555,-0.07652393140439745,0.0,0.0
24,coast_stratum,interior_gt25km,7,ifs_hres,pangu_hres_init,0.2781869123537706,-0.009289195154497998,-0.287940505680775,-0.33101566084227035,-0.24431317260679938,0.0,0.6965
48,all_eligible,all,1,graphcast_hres_init,pangu_hres_init,0.08868165399626793,-0.07972162664737259,-0.16840159207111371,-0.191016821323135,-0.1455131446157248,0.0,1.0
48,all_eligible,all,1,ifs_hres,graphcast_hres_init,0.2601878600248341,0.10607346400766171,-0.15411808806238705,-0.17464414152025512,-0.13392144059500305,0.0,0.0
48,all_eligible,all,1,ifs_hres,pangu_hres_init,0.348869514021102,0.02635183736028912,-0.32251968013350074,-0.35195314478544615,-0.29352624282532913,0.0,0.0505
48,all_eligible,all,3,graphcast_hres_init,pangu_hres_init,0.08868165399626793,-0.07972162664737259,-0.16858811753747108,-0.19390483739065822,-0.1434711689675242,0.0,1.0
48,all_eligible,all,3,ifs_hres,graphcast_hres_init,0.2601878600248341,0.10607346400766171,-0.15455817926343757,-0.17845619755458939,-0.1307458182092628,0.0,0.0
48,all_eligible,all,3,ifs_hres,pangu_hres_init,0.348869514021102,0.02635183736028912,-0.3231462968009088,-0.35696655627243923,-0.2896291892784326,0.0,0.0645
48,all_eligible,all,5,graphcast_hres_init,pangu_hres_init,0.08868165399626793,-0.07972162664737259,-0.1680301045075582,-0.1943621253809081,-0.14176337886867205,0.0,1.0
48,all_eligible,all,5,ifs_hres,graphcast_hres_init,0.2601878600248341,0.10607346400766171,-0.15410090609320312,-0.1792134916749693,-0.13031830600788613,0.0,0.0
48,all_eligible,all,5,ifs_hres,pangu_hres_init,0.348869514021102,0.02635183736028912,-0.3221310106007613,-0.3558169941528817,-0.2896533173603221,0.0,0.079
