network,model,reference,sigma_km,block_days,metric,change,ci_low,ci_high,p_smoothing_improves
inmet_hourly,graphcast_hres_init,era5,25.0,7,centred_rmse,-0.02651268359675681,-0.02951257922036358,-0.02361964021992298,1.0
inmet_hourly,graphcast_hres_init,era5,50.0,7,centred_rmse,0.08394709531743783,0.07769334781321882,0.09008472797102496,0.0
inmet_hourly,graphcast_hres_init,era5,100.0,7,centred_rmse,0.3054892281321937,0.2916066885936773,0.3195081717166852,0.0
inmet_hourly,graphcast_hres_init,era5,12.5,1,mae,-0.00833787184003512,-0.00858304055957747,-0.008083099676895513,1.0
inmet_hourly,graphcast_hres_init,era5,25.0,1,mae,-0.02050218046162801,-0.02194166278995717,-0.019091459896510315,1.0
inmet_hourly,graphcast_hres_init,era5,50.0,1,mae,0.07107662219261093,0.06823169881187328,0.07398991882426176,0.0
inmet_hourly,graphcast_hres_init,era5,100.0,1,mae,0.24704689600702537,0.2409307691331244,0.25314027810767387,0.0
inmet_hourly,graphcast_hres_init,era5,12.5,3,mae,-0.008344191487483343,-0.008676092630722613,-0.008007756850880727,1.0
inmet_hourly,graphcast_hres_init,era5,25.0,3,mae,-0.020529262509211933,-0.02235012434693428,-0.018581695320599598,1.0
inmet_hourly,graphcast_hres_init,era5,50.0,3,mae,0.07109637273580442,0.06743359250252771,0.07476376244318284,0.0
inmet_hourly,graphcast_hres_init,era5,100.0,3,mae,0.2471143429484727,0.23971005683877777,0.25484305795777035,0.0
inmet_hourly,graphcast_hres_init,era5,12.5,5,mae,-0.00834238637873843,-0.008722166276191826,-0.007933151891001725,1.0
inmet_hourly,graphcast_hres_init,era5,25.0,5,mae,-0.020545613343241013,-0.022585159293372018,-0.018421622714927914,1.0
inmet_hourly,graphcast_hres_init,era5,50.0,5,mae,0.07101224111171486,0.06693158976990403,0.07507021630451154,0.0
inmet_hourly,graphcast_hres_init,era5,100.0,5,mae,0.24691889448949586,0.23823649191175483,0.2555862577362064,0.0
inmet_hourly,graphcast_hres_init,era5,12.5,7,mae,-0.008336868357641653,-0.008766057038584412,-0.007878396503959396,1.0
inmet_hourly,graphcast_hres_init,era5,25.0,7,mae,-0.020491535672042083,-0.022760036418031263,-0.018151248767041064,1.0
inmet_hourly,graphcast_hres_init,era5,50.0,7,mae,0.07103074954878084,0.06665099758012784,0.07539429575958827,0.0
inmet_hourly,graphcast_hres_init,era5,100.0,7,mae,0.24698093783295097,0.23760849871010178,0.2564044740133288,0.0
inmet_hourly,graphcast_hres_init,era5,12.5,1,rmse,-0.012275588106941881,-0.012675095469328013,-0.01188641304670208,1.0
inmet_hourly,graphcast_hres_init,era5,25.0,1,rmse,-0.029555201733014663,-0.031352026920643095,-0.02775123909150119,1.0
