network,model,reference,sigma_km,change,ci_low,ci_high,metric,block_days,p_smoothing_improves,figure_panel,ladder,weighting,support_km,optimal_sigma_km_point,optimal_sigma_km_bootstrap_mean,optimal_sigma_ci_low_km,optimal_sigma_ci_high_km,p_optimal_sigma_gt_zero,route,thinning_mean,thinning_median,thinning_ci_low,thinning_ci_high
midas_open_uk,pangu_hres_init,,,,,,rmse,7.0,,d,prospective_common,uniform,0.0,0.0,0.0,0.0,0.0,0.0,uniform,,,,
midas_open_uk,pangu_hres_init,,,,,,rmse,7.0,,d,prospective_common,uniform,50.0,0.0,0.75,0.0,12.5,0.06,uniform,,,,
midas_open_uk,pangu_hres_init,,,,,,rmse,7.0,,d,prospective_common,uniform,100.0,12.5,12.51875,12.5,12.5,1.0,uniform,,,,
midas_open_uk,pangu_hres_init,,,,,,rmse,7.0,,d,prospective_common,uniform,200.0,12.5,12.64375,12.5,12.5,1.0,uniform,,,,
midas_open_uk,graphcast_hres_init,,,,,,,,,d,,,0.0,,,,,,thinning,0.0,0.0,0.0,0.0
midas_open_uk,graphcast_hres_init,,,,,,,,,d,,,50.0,,,,,,thinning,0.20833333333333334,0.0,0.0,0.0
midas_open_uk,graphcast_hres_init,,,,,,,,,d,,,100.0,,,,,,thinning,12.708333333333334,12.5,5.937500000000001,25.0
midas_open_uk,graphcast_hres_init,,,,,,,,,d,,,200.0,,,,,,thinning,16.25,12.5,0.0,25.0
midas_open_uk,ifs_hres,,,,,,,,,d,,,0.0,,,,,,thinning,0.0,0.0,0.0,0.0
midas_open_uk,ifs_hres,,,,,,,,,d,,,50.0,,,,,,thinning,15.625,12.5,12.5,25.0
midas_open_uk,ifs_hres,,,,,,,,,d,,,100.0,,,,,,thinning,25.0,25.0,25.0,25.0
midas_open_uk,ifs_hres,,,,,,,,,d,,,200.0,,,,,,thinning,38.75,50.0,25.0,50.0
midas_open_uk,pangu_hres_init,,,,,,,,,d,,,0.0,,,,,,thinning,0.0,0.0,0.0,0.0
midas_open_uk,pangu_hres_init,,,,,,,,,d,,,50.0,,,,,,thinning,1.4583333333333333,0.0,0.0,12.5
midas_open_uk,pangu_hres_init,,,,,,,,,d,,,100.0,,,,,,thinning,12.291666666666666,12.5,12.5,12.5
midas_open_uk,pangu_hres_init,,,,,,,,,d,,,200.0,,,,,,thinning,12.5,12.5,0.0,25.0
