network,model,model_family,cohort,reference,sigma_km,metric,score,n_days
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,0.0,rmse,1.5505790086380717,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,12.5,rmse,1.548944915988074,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,25.0,rmse,1.5710025394117946,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,50.0,rmse,1.6741435279352193,365
midas_open_uk,era5_forecast,ifs_era5_forecast,era5_initialised,station,100.0,rmse,1.911216373678462,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,0.0,centred_rmse,0.6105823293295781,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,12.5,centred_rmse,0.6149135332437745,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,25.0,centred_rmse,0.6919159872953048,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,50.0,centred_rmse,0.9499090532201884,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,100.0,centred_rmse,1.3592263233054158,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,0.0,mae,0.46044356237229145,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,12.5,mae,0.4628695563629233,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,25.0,mae,0.5190010903838526,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,50.0,mae,0.7008591952207527,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,100.0,mae,1.0098540688494597,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,0.0,rmse,0.6130143841606256,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,12.5,rmse,0.6172465840431526,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,25.0,rmse,0.6925797036024879,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,50.0,rmse,0.9510039385278294,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,era5,100.0,rmse,1.3718548676813946,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,0.0,centred_rmse,1.376326547747684,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,12.5,centred_rmse,1.3848545042184421,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,25.0,centred_rmse,1.445911443947164,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,50.0,centred_rmse,1.6098177095343769,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,100.0,centred_rmse,1.894426120008964,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,0.0,mae,1.0416898122379636,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,12.5,mae,1.047500106488037,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,25.0,mae,1.0852896868260948,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,50.0,mae,1.1978537671329206,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,100.0,mae,1.4235566591047544,365
midas_open_uk,graphcast_era5,graphcast,era5_initialised,station,0.0,rmse,1.376706352498088,365
