network,ladder,model,draw,support_km,metric,stations_kept,optimal_sigma_km,n_centres
inmet_hourly,prospective_common,graphcast_hres_init,7,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,7,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,7,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,7,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,8,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,8,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,8,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,8,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,9,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,9,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,9,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,9,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,10,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,10,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,10,100.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,10,200.0,rmse,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,11,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,11,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,11,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,11,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,12,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,12,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,12,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,12,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,13,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,13,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,13,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,13,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,14,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,14,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,14,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,14,200.0,rmse,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,15,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,15,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,15,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,15,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,16,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,16,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,16,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,16,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,17,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,17,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,17,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,17,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,18,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,18,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,18,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,18,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,19,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,19,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,19,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,19,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,20,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,20,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,20,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,20,200.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,21,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,21,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,21,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,21,200.0,rmse,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,22,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,22,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,22,100.0,rmse,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,22,200.0,rmse,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,23,0.0,rmse,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,23,50.0,rmse,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,23,100.0,rmse,3,25.0,37
