network,ladder,model,weighting,support_km,metric,sigma_km,score,n_centres,n_days
inmet_hourly,prospective_common,pangu_hres_init,gaussian,200.0,rmse,100.0,1.3870323969376124,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,mae,0.0,1.639740193402728,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,mae,12.5,1.6546688866226609,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,mae,25.0,1.7967352850123337,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,mae,50.0,1.9918557563531778,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,mae,100.0,2.278018083318254,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,mae,0.0,1.238843278762504,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,mae,12.5,1.2335407875927045,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,mae,25.0,1.1659500328478585,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,mae,50.0,1.308697205700057,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,mae,100.0,1.6897029909341417,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,mae,0.0,1.150516502263398,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,mae,12.5,1.134740164003896,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,mae,25.0,1.0266810661730998,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,mae,50.0,1.008915536142093,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,mae,100.0,1.2942339339805815,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,mae,0.0,1.2298221974337575,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,mae,12.5,1.208035904231011,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,mae,25.0,1.0516501246842067,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,mae,50.0,0.8945428025075989,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,mae,100.0,1.0237121740651243,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,rmse,0.0,2.2909253589633183,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,rmse,12.5,2.312767389286919,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,rmse,25.0,2.500125602911303,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,rmse,50.0,2.772847886797941,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,0.0,rmse,100.0,3.1471242616035067,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,rmse,0.0,1.6070804964670646,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,rmse,12.5,1.5984240381739894,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,rmse,25.0,1.519407720308129,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,rmse,50.0,1.714117925116174,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,50.0,rmse,100.0,2.1745710360607906,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,rmse,0.0,1.4897748941495998,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,rmse,12.5,1.4732516844438113,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,rmse,25.0,1.3215877901283901,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,rmse,50.0,1.2865161080098042,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,100.0,rmse,100.0,1.6281409515907437,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,rmse,0.0,1.5828177060794488,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,rmse,12.5,1.5609050994978522,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,rmse,25.0,1.3635878746132464,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,rmse,50.0,1.1604099170519373,37,365
inmet_hourly,prospective_common,pangu_hres_init,uniform,200.0,rmse,100.0,1.2991131783721739,37,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,mae,0.0,0.9087114692607301,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,mae,12.5,0.9264875575459689,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,mae,25.0,1.0119548370906004,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,mae,50.0,1.1636019530456048,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,mae,100.0,1.3446686964303827,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,mae,0.0,0.841275629420773,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,mae,12.5,0.8552679098369933,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,mae,25.0,0.9369458096701234,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,mae,50.0,1.0920115410529347,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,mae,100.0,1.2801712417237265,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,mae,0.0,0.8162309119460507,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,mae,12.5,0.8180906159109324,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,mae,25.0,0.8713596283678813,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,mae,50.0,1.012290783710085,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,50.0,mae,100.0,1.1935586686993525,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,mae,0.0,0.7584285132549808,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,mae,12.5,0.7560330693438668,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,mae,25.0,0.7918442439915904,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,mae,50.0,0.9097942644119872,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,100.0,mae,100.0,1.09347715353547,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,rmse,0.0,1.1902606458885556,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,rmse,12.5,1.2165569143523545,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,rmse,25.0,1.3382606533158203,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,rmse,50.0,1.5546461592244059,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,0.0,rmse,100.0,1.7729763692422513,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,rmse,0.0,1.095343556898581,15,365
midas_open_uk,exact_preregistered,graphcast_hres_init,gaussian,25.0,rmse,12.5,1.118388638790586,15,365
