network,model,reference,sigma_km,mse_c2,bias_c,bias_squared_c2,centred_mse_c2
midas_open_uk,era5_forecast,station,50.0,2.802756552127382,-0.12362659189831814,0.015283534224393299,2.7874730179029887
midas_open_uk,era5_forecast,station,100.0,3.6527480270166506,0.06391605502764323,0.004085262090296718,3.6486627649263537
midas_open_uk,graphcast_era5,era5,0.0,0.37578663518783106,-0.05455139135070438,0.0029758542982977047,0.37281078088953334
midas_open_uk,graphcast_era5,era5,12.5,0.3809933455129407,-0.053616155649188854,0.002874692146598046,0.37811865336634265
midas_open_uk,graphcast_era5,era5,25.0,0.47966664584210994,-0.030313567379532995,0.0009189123672734869,0.47874773347483646
midas_open_uk,graphcast_era5,era5,50.0,0.9044084910954434,0.0456210664689975,0.002081281705768688,0.9023272093896747
midas_open_uk,graphcast_era5,era5,100.0,1.8819857779811369,0.18571370443448176,0.03448958001477805,1.8474961979663589
midas_open_uk,graphcast_era5,station,0.0,1.8953203810085897,-0.03233597027354919,0.0010456149735318567,1.8942747660350578
midas_open_uk,graphcast_era5,station,12.5,1.9188080039857707,-0.03140073457203366,0.00098600613166331,1.9178219978541073
midas_open_uk,graphcast_era5,station,25.0,2.0907254837109077,-0.00809814630237781,6.557997353471541e-05,2.090659903737373
midas_open_uk,graphcast_era5,station,50.0,2.596114846973107,0.06783648754615272,0.004601789042599333,2.5915130579305075
midas_open_uk,graphcast_era5,station,100.0,3.632084845408252,0.20792912551163711,0.04323452123603414,3.588850324172218
midas_open_uk,graphcast_hres_init,era5,0.0,0.6584839337365616,-0.26991795871767776,0.072855704438318,0.5856282292982435
midas_open_uk,graphcast_hres_init,era5,12.5,0.6268922557225755,-0.2655821513236692,0.07053387910170832,0.5563583766208672
midas_open_uk,graphcast_hres_init,era5,25.0,0.6346945695746858,-0.21826023974719536,0.04763753225450319,0.5870570373201827
midas_open_uk,graphcast_hres_init,era5,50.0,0.9979560651597218,-0.10540754644016406,0.011110750846535344,0.9868453143131865
midas_open_uk,graphcast_hres_init,era5,100.0,1.9498339798041449,0.08149498014702161,0.006641431789163447,1.9431925480149814
midas_open_uk,graphcast_hres_init,station,0.0,2.1222532444273376,-0.2477025376405226,0.06135654715355452,2.060896697273783
midas_open_uk,graphcast_hres_init,station,12.5,2.158623993085164,-0.24336673024651406,0.05922736539087954,2.099396627694284
midas_open_uk,graphcast_hres_init,station,25.0,2.309568882873962,-0.19604481867004012,0.03843357092736891,2.271135311946593
midas_open_uk,graphcast_hres_init,station,50.0,2.783362256517553,-0.08319212536300888,0.006920929722414585,2.776441326795138
midas_open_uk,graphcast_hres_init,station,100.0,3.7843349663681645,0.10371040122417685,0.010755847322079744,3.773579119046085
midas_open_uk,ifs_ens_mean,era5,0.0,0.7970555254392742,-0.370874718222949,0.1375480566169518,0.6595074688223224
midas_open_uk,ifs_ens_mean,era5,12.5,0.766148058775266,-0.3655653486379575,0.1336380241247914,0.6325100346504746
midas_open_uk,ifs_ens_mean,era5,25.0,0.723195794190516,-0.31280886903876104,0.09784938854930876,0.6253464056412072
midas_open_uk,ifs_ens_mean,era5,50.0,0.9850729989294089,-0.1972150254916707,0.038893766279680324,0.9461792326497286
midas_open_uk,ifs_ens_mean,era5,100.0,1.817244947936891,-0.008637911478825663,7.461351471602815e-05,1.817170334422175
midas_open_uk,ifs_ens_mean,station,0.0,2.259476567750975,-0.34865929714579375,0.1215633054861989,2.137913262264776
midas_open_uk,ifs_ens_mean,station,12.5,2.266191525384656,-0.3433499275608023,0.11788917275600819,2.1483023526286478
midas_open_uk,ifs_ens_mean,station,25.0,2.3559551946315116,-0.2905934479616058,0.0844445519982145,2.271510642633297
midas_open_uk,ifs_ens_mean,station,50.0,2.7360815851410187,-0.17499960441451554,0.030624861545236925,2.705456723595782
midas_open_uk,ifs_ens_mean,station,100.0,3.620627563743577,0.01357750959832948,0.00018434876689272915,3.6204432149766843
midas_open_uk,ifs_hres,era5,0.0,0.9422194058348528,-0.3432359253906642,0.11781090047878562,0.8244085053560671
midas_open_uk,ifs_hres,era5,12.5,0.8442639885508877,-0.3424606893542853,0.1172793237530123,0.7269846647978754
midas_open_uk,ifs_hres,era5,25.0,0.7228313254340011,-0.28992017489360866,0.08405370781034063,0.6387776176236605
midas_open_uk,ifs_hres,era5,50.0,0.9696807657579076,-0.17522841203998574,0.03070499638605502,0.9389757693718526
midas_open_uk,ifs_hres,era5,100.0,1.8019906939331265,0.012313360535382671,0.00015161884767431942,1.8018390750854523
midas_open_uk,ifs_hres,station,0.0,2.168718310923615,-0.3210205043135091,0.1030541641896997,2.065664146733915
midas_open_uk,ifs_hres,station,12.5,2.19967124848116,-0.3202452682771301,0.10255703185389105,2.097114216627269
